Month,Year,Type,Event,Description,Resources
Mar,2014,Missile Provocation,Short-range Ballistic Missile Launch,North Korea launched short-range missiles from the port city of Wonsan on the east coast. A China Southern Airlines flight carrying 220 passengers passed through the same airspace as traversed by the missiles just minutes after they were launched. North Korea gave no warning before firing the missiles and they travelled approximately 155 km.,http://www.wsj.com/articles/SB10001424052702303824204579420623335971350M
Mar,2014,Missile Provocation,Short-range Missile Launch,"North Korea launched 25 short-range missiles on March 16. The missiles, appeared to be Free Rocket Over Ground (FROG), were launched from Wonsan and landed in the East Sea after travelling approxiamately 70 km.",http://english.yonhapnews.co.kr/national/2014/03/16/90/0301000000AEN20140316003053315F.html
Mar,2014,Missile Provocation,Short-range Missile Launch,"North Korea launched 30 short-range missiles into the East Sea from Wonsan. As with the March 16 test-launches, North Korea failed to send out navigational warning to ships and aircrafts in the area.",http://english.yonhapnews.co.kr/national/2014/03/22/0301000000AEN20140322000400315.html
Mar,2014,Missile Provocation,Short-range Missile Launch,"North Korea test-fired 16 short-range Free Rocket Over Ground (FROG), from Wonsan into the East Sea.",http://english.yonhapnews.co.kr/national/2014/03/23/26/0301000000AEN20140323000200315F.html
Mar,2014,Missile Provocation,Medium-range Ballistic Missile Launch,"North Korea fired 2 Nodong missiles from Sukchon, into the East Sea, its first tests of the Nodong since 2009.",http://www.bbc.com/news/world-asia-26743197
Mar,2014,Other Provocation,NLL Exchange of Fire,"North Korea held a live-fire exercise near the Northern Limit Line (NLL), after sending out a no-sail zone warning. South Korea responded by firing rounds from K-9 self-propelled howitzers as several artillery shells fell south of the NLL.",http://www.cnn.com/2014/03/30/world/asia/north-korea-nuclear/
May,2014,Other Provocation,NLL Exchange of Fire,"North Korea fired artillery near a South Korean warship on patrol near the Northern Limit Line. The South Korean vessel was not hit, and responded by firing several shells into North Korean waters near a North Korean patrol boat.",http://www.reuters.com/article/us-northkorea-firing-idUSBREA4L09Q20140522
Jun,2014,Missile Provocation,Short-range Missile Launch,North Korea fired 3 short-range missiles from a location near Wonsan into the East Sea. North Korea claimed they were testing newly developed precision guided missiles.,http://bigstory.ap.org/article/report-north-korea-fires-short-range-projectiles
Jun,2014,Missile Provocation,Short-range Ballistic Missile Launch,"North Korea fired 2 Scud missiles into the East Sea, 4 days before President Xi Jinping's visit to South Korea.",http://www.cnn.com/2014/06/28/world/asia/north-korea-missile-launch/
Jul,2014,Missile Provocation,Short-range Ballistic Missile Launch,North Korea fired two rockets from the port city of Wonsan. The missiles are presumed to be short-range KN-09 projectiles and flew about 110 miles (180km).,http://www.bbc.com/news/world-asia-28122650
Jul,2014,Missile Provocation,Short-range Ballistic Missile Launch,North Korea launched 2 Scud missiles from Hwanghae province in a northeasterly direction. The missiles landed in the East Sea.,http://www.cnn.com/2014/07/08/world/asia/north-korea-missiles/
Jul,2014,Missile Provocation,Short-range Ballistic Missile Launch,North Korea fired 2 Scud missiles into the East Sea.,http://www.cnn.com/2014/07/12/world/asia/north-korea-missiles/
Jul,2014,Missile Provocation,Short-range Ballistic Missile Launch,"North Korea fired a Scud missile into the East Sea, on the eve of the anniversary of the signing of the armistice. The missile was launched from Jangsan Cape, in South Hwanghae Province.",http://www.koreatimes.co.kr/www/news/nation/2016/06/113_161740.html
Aug,2014,Missile Provocation,Short-range Ballistic Missile Launch,North Korea launched three short-range rockets into the East Sea from a location near Wonsan. The launch occurred shortly before Pope Francis was scheduled to arrive in South Korea for a visit.,http://www.reuters.com/article/us-northkorea-rockets-idUSKBN0GE06D20140814
Sep,2014,Missile Provocation,Short-range Ballistic Missile Launch,North Korea fired a missile into the East Sea from a location in Chagang province near the border with China.,http://english.yonhapnews.co.kr/national/2014/09/01/50/0301000000AEN20140901005051320F.html
Sep,2014,Missile Provocation,Short-range Ballistic Missile Launch,North Korea launched three short-range missiles into the East Sea from a location near Wonsan.,http://www.telegraph.co.uk/news/worldnews/asia/northkorea/11078937/North-Korea-tests-missiles-ahead-of-South-Korea-holiday.html
Oct,2014,Other Provocation,NLL Exchange of Fire,North and South Korean patrol boats briefly exchanged fire near the Northern Limit Line (NLL) in the Yellow Sea following the North Korean vessel's violation of the NLL border.,http://english.yonhapnews.co.kr/national/2014/10/07/3/0301000000AEN20141007003151315F.html
Oct,2014,Other Provocation,DMZ Exchange of Fire,South and North Korea exchanged fire across their border after a group of South Korean activists had sent leaflets flying into the North from the border town of Yeoncheon.,http://www.nytimes.com/2014/10/11/world/asia/koreas-exchange-fire-after-activists-launch-balloons-over-border.html
Oct,2014,Other Provocation,DMZ Exchange of Fire,"South Korea fired towards 10 North Korean soldiers who were approaching the military demarcation line (MDL) in Paju after broadcasting warning messages. The North Koreans fired back, to which the South Koreans also returned fire.",http://www.nytimes.com/2014/10/20/world/asia/gunfire-exchanged-on-korean-boundary.html
Feb,2015,Missile Provocation,Anti-Ship Cruise Missile Launch,North Korea test-fired an anti-ship cruise missile that resembles the Russian KH-35 missile. It was fired from a Korean People’s Navy (KPN) East Sea Fleet vessel.,http://www.reuters.com/article/us-northkorea-missile-idUSKBN0LB04B20150207
Feb,2015,Missile Provocation,Short-range Ballistic Missile Launch,North Korea fired 5 short-range ballistic missiles from a location near Wonsan into the East Sea.,http://www.nytimes.com/2015/02/09/world/asia/north-korea-launches-5-short-range-missiles.html?_r=0
Mar,2015,Missile Provocation,Short-range Ballistic Missile Launch,"North Korea fired 2 short-range ballistic missiles into the East Sea from the western port city of Nampo. The missiles are presumed to be Scud-C based on their range, which was estimated to be 490 km.",http://www.cnn.com/2015/03/01/asia/north-korea-missiles-fired/
Mar,2015,Missile Provocation,Short-range Ballistic Missile Launch,North Korea launched 7 surface-to-air missiles from its east coast.,http://www.reuters.com/article/us-northkorea-missiles-idUSKBN0M90EN20150313
Apr,2015,Missile Provocation,Short-range Ballistic Missile Launch,"North Korea fired 1 short-range ballistic missile, presumably KN-02 from Dongchang-ri in the north of the country. ROK Joint Chief of Staff mentioned in its statement the missile had a range of about 140 km.",http://www.upi.com/Top_News/World-News/2015/04/03/North-Korea-test-fires-four-short-range-missiles-into-Yellow-Sea/9051428068946/
Apr,2015,Missile Provocation,Short-range Ballistic Missile Launch,"North Korea test-fired 4 short-range ballistic missiles into the West Sea from Dongchang-ri, North Pyongan Province. They were likely KN-02 missiles.",http://www.dailymail.co.uk/wires/afp/article-3024448/N-Korea-fires-four-short-range-missiles-sea.html
May,2015,Missile Provocation,Submarine Launched Ballistic Missile Launch,"North Korea claimed to have successfully test-fired a submarine-launched ballistic missile (SLBM). However, multiple sources concur that the photographs North Korea released had been doctored, and concluded that their SLBM capabilities were as of yet, still unrealized.",http://www.mofa.go.kr/webmodule/htsboard/template/read/engreadboard.jsp?typeID=12&boardid=303&seqno=315220
Jun,2015,Missile Provocation,Anti-Ship Cruise Missile Launch,North Korea fired 3 KN-01 missiles from a site near Wonsan.,http://english.yonhapnews.co.kr/national/2015/06/14/46/0301000000AEN20150614004200315F.html
Aug,2015,Other Provocation,Land Mine Explosion,"Three landmines, presumably buried by the North Koreans, exploded South of the DMZ, injuring two South Korean soldiers on patrol.",http://www.nytimes.com/2015/08/11/world/asia/north-korea-placed-mines-that-maimed-2-south-korean-soldiers-at-dmz-seoul-says.html
Aug,2015,Other Provocation,DMZ Exchange of Fire,"North and South Korea exchanged artillery fire near Yeoncheon, northwest of Seoul.",http://english.yonhapnews.co.kr/search1/2603000000.html?cid=AEN20150820011155315
Nov,2015,Missile Provocation,Submarine Launched Ballistic Missile Launch,North Korea tested a submarine launched ballistic missile (KN-11) near Sinpo. The test was reportedly a failure as the missile failed to eject properly.,http://www.reuters.com/article/us-northkorea-missile-idUSKBN0TH09M20151128
Dec,2015,Missile Provocation,Submarine Launched Ballistic Missile Launch,"North Korea fired a submarine launched ballistic missile (SLBM), presumed to be a KN-11, from the east coast city of Sinpo.",http://www.ibtimes.com/north-korea-releases-video-successful-submarine-launched-ballistic-missile-test-2257807
Jan,2016,Nuclear Provocation,Nuclear Test,North Korea conducted its fourth nuclear test at the Punggye-ri nuclear test site. North Korea claimed it had successfully tested a hydrogen bomb.,http://www.reuters.com/article/us-northkorea-nuclear-idUSKBN0UK0G420160106
Feb,2016,Missile Provocation,Satellite Launch (Other Provocation),"Controversy erupted when the North Koreans launched a rocket into orbit, the earth observation satellite Kwangmyongsong-4, which the international community viewed as a testing of its inter-continential ballistic missile (ICBM) capabilities.",http://www.cnn.com/2016/02/06/asia/north-korea-rocket-launch-window/
Mar,2016,Missile Provocation,Short-range Ballistic Missile Launch,North Korea fired 6 short-range projectiles into the East Sea from a location near Wonsan.,http://www.koreatimes.co.kr/www/news/nation/2016/03/116_199569.html
Mar,2016,Missile Provocation,Short-range Ballistic Missile Launch,"North Korea launched 2 missiles, likely Scuds, into the East Sea. They were launched from Hwangju County in North Hwanghae Province in response to the Foal Eagle and Key Resolve U.S.-ROK joint exercises.",http://www.bbc.com/news/world-asia-35770198
Mar,2016,Missile Provocation,Medium-range Ballistic Missile Launch,"North Korea fired 2 missiles from an area near Sukchon. The first missile, believed to be a Nodong, landed within the Japanese ADIZ in the East Sea.",http://english.yonhapnews.co.kr/national/2016/03/18/4/0301000000AEN20160318000853315F.html
Mar,2016,Missile Provocation,Short-range Ballistic Missile Launch,North Korea fired 5 short-range ballistic missiles from a location near Hamhung into the East Sea.,http://www.koreaherald.com/view.php?ud=20160321000981
Mar,2016,Other,Rocket Engine Test,North Korea claims to have tested a new rocket engine for ballistic missiles.,https://www.nytimes.com/2016/03/25/world/asia/north-korea-solid-fuel-rocket-engine.html
Mar,2016,Missile Provocation,Short-range Ballistic Missile Launch,North Korea fired a short-range projectile from an area near Wonsan into the East Sea.,http://english.yonhapnews.co.kr/national/2016/03/29/0/0301000000AEN20160329010051320F.html
Apr,2016,Missile Provocation,Long-range Surface-to-Air Missile Launch,"North Korea fired 5 surface-to-air missiles, presumed to be KN-06, from South Hamgyong Province into the East Sea.",http://english.yonhapnews.co.kr/national/2016/04/04/39/0301000000AEN20160404010300315F.html
Apr,2016,Missile Provocation,Submarine Launched Ballistic Missile Launch,North Korea attempted to test-launch a ballistic missile from a Sinpo-class submarine in the East Sea. The test was halted due to malfunctions.,https://www.nknews.org/2016/04/n-korean-submarine-attempts-to-test-fire-ballistic-missile-mbn/
Apr,2016,Other,Rocket Engine Test,North Korea conducted a test of a liquid-fuel engine for a ballistic missile at the Sohae satellite launching station in North Pyongan province.,http://www.reuters.com/article/us-northkorea-nuclear-idUSKCN0X52K3
Apr,2016,Missile Provocation,Intermediate-range Ballistic Missile Launch,North Korea conducted a failed test-launch of a medium-range ballistic missile for the anniversary of Kim Il Sung's birthday.,http://www.mofa.go.kr/webmodule/htsboard/template/read/engreadboard.jsp?typeID=12&boardid=303&seqno=316434
Apr,2016,Missile Provocation,Submarine Launched Ballistic Missile Launch,North Korea test-launched a KN-11 submarine launched ballistic missile (SLBM) from near its eastern coastal city of Sinpo at around 6:30 pm in the East Sea.,http://www.mofa.go.kr/webmodule/htsboard/template/read/engreadboard.jsp?typeID=12&boardid=302&seqno=316455&tableName=TYPE_ENGLISH
Apr,2016,Missile Provocation,Intermediate-range Ballistic Missile Launch,"North Korea conducted a two failed missile launches, of what was believed to be Musudan missiles, intermediate-range ballistic missiles.",http://www.defense.gov/News-Article-View/Article/742445/pentagon-press-secretary-north-korean-test-violates-un-resolutions
May,2016,Missile Provocation,Intermediate-range Ballistic Missile Launch,"North Korea conducted a failed missile launch, of what was believed to be a Musudan missile, from the eastern city of Wonsan. This was the 4th attempt at testing the Musudan in 2016.",http://www.reuters.com/article/us-northkorea-missile-fail-idUSKCN0YM015
Jun,2016,Missile Provocation,Intermediate-range Ballistic Missile Launch,North Korea fired two intermediate-range ballistic missiles from the east coast city of Wonsan.,http://www.nytimes.com/2016/06/22/world/asia/north-korean-missile-test-fails-south-korea-says.html?ref=world&_r=0
Jul,2016,Missile Provocation,Submarine Launched Ballistic Missile Launch,"North Korea fired a submarine launched ballistic missile (SLBM), presumed to be a KN-11, from the east coast city of Sinpo.",http://www.cnn.com/2016/07/09/asia/north-korea-submarine-missile
Jul,2016,Missile Provocation,Medium-range Ballistic Missile Launch,North Korea fired 3 Nodong ballistic missiles into the East Sea from the county of Hwangju in North Hwanghae province.,http://www.reuters.com/article/us-northkorea-missiles-idUSKCN0ZY2PC
Aug,2016,Missile Provocation,Medium-range Ballistic Missile Launch,North Korea launched 2 Nodong missiles from South Hwanghae province on the western coast.,http://www.cnn.com/2016/08/02/asia/north-korea-missile/index.htmlVideo: https://www.youtube.com/watch?v=gvVQza8fYX8
Aug,2016,Missile Provocation,Submarine Launched Ballistic Missile Launch,North Korea fired a KN-11 submarine launched ballistic missile (SLBM) into the East Sea from a location near Sinpo.,http://www.reuters.com/article/us-northkorea-missiles-idUSKCN10Y2B0
Sep,2016,Missile Provocation,Medium-range Ballistic Missile Launch,North Korea reportedly fired 3 SCUD-ER missiles into the East Sea from Hwangju near the west coast.,http://english.yonhapnews.co.kr/national/2016/09/09/0301000000AEN20160909000300315.html
Sep,2016,Nuclear Provocation,Nuclear Test,North Korea conducted its fifth nuclear test at the Punggye-ri nuclear test site.,http://www.cnn.com/2016/09/08/asia/north-korea-seismic-activity/Video
Sep,2016,Other,Rocket Engine Test,North Korea tested a long-range ballistic missile rocket engine at the Sohae satellite launching facility in North Pyongan province.,https://www.nytimes.com/2016/09/21/world/asia/north-korea-says-it-has-tested-a-new-long-range-rocket-engine.html
Oct,2016,Missile Provocation,Intermediate-range Ballistic Missile Launch,North Korea launched a presumed Musudan missile from a location near Kusong in the northwestern part of the country. U.S. and ROK military sources stated that the launch failed.,http://www.reuters.com/article/us-korea-north-usa-idUSKBN12F0S2Video
Oct,2016,Missile Provocation,Intermediate-range Ballistic Missile Launch,North Korea fired a Musudan missile from a location near Banghyon Airport in Kusong prior to the third U.S. presidential debate between Hillary Clinton and Donald Trump. The test reportedly failed.,http://www.cnn.com/2016/10/19/asia/north-korea-missile-launch-fail/index.html
Feb,2017,Missile Provocation,Medium-range Ballistic Missile Launch,"North Korea test-fired a new medium-range missile called the Pukguksong-2 from a location near Kusong, North Pyongan province. The missile is believed to be a variant of the KN-11 and, according to the South Korean Joint Chiefs of Staff, was launched using solid-fuel engine technology. A similar type of submarine launched ballistic missile (SLBM) was successfully launched on August 24, 2016.",https://www.nytimes.com/2017/02/13/world/asia/north-korea-missile-launch-success.html?_r=0
Mar,2017,Missile Provocation,Medium-range Ballistic Missile Launch,North Korea launched four ballistic missiles into the East Sea from a location near Tongchang-ri in North Pyongan province. The missiles were reportedly of the SCUD-ER or Hwasong-7 type. Three of the missiles traveled at least 1000km (620 miles) and landed in Japan's EEZ.,http://www.cnn.com/2017/03/06/asia/north-korea-missile-launch-analysis/index.html
Mar,2017,Other,Rocket Engine Test,North Korea tested a new high-thrust engine for a ballistic missile at the Sohae satellite launching station in North Pyongan Province.,http://www.reuters.com/article/us-northkorea-missiles-idUSKBN16R02P
Mar,2017,Missile Provocation,Ballistic Missile Launch (type unknown),"North Korea attempted to launch a ballistic missile from a location near Kalma on the East Coast. The missile reportedly exploded shortly after take off. Joseph Yun, the U.S. special representative for North Korea policy, was in Seoul to meet with his South Korean counterpart at the time of the launch.",http://www.cnn.com/2017/03/21/asia/north-korea-missile-test/
Mar,2017,Other,Rocket Engine Test,North Korea claimed to have successfully tested a high-powered solid-fuel rocket engine for its ballistic missiles which could indicate significant improvements in the regime’s missile attack capabilities.,https://goo.gl/P7bhwt
Apr,2017,Missile Provocation,Intermediate-range Ballistic Missile Launch,North Korea reportedly fired a Hwasong-12 (KN-17) missile from a location near the eastern coastal city of Sinpo. The liquid-fueled missile flew 37 miles into the East Sea. The missile launch occurred about one day before a summit meeting between U.S. president Donald Trump and Chinese president Xi Jinping.,http://www.reuters.com/article/us-northkorea-missiles-idUSKBN1762XX
Apr,2017,Missile Provocation,Intermediate-range Ballistic Missile Launch,"North Korea attempted to launch a missile from a location near Sinpo, South Hamgyong province. The missile exploded shortly after launch. This latest missile test comes just hours before U.S. Vice President Mike Pence is scheduled to arrive in South Korea for a visit.",http://www.cnn.com/2017/04/15/asia/north-korea-missile-test/
Apr,2017,Missile Provocation,Intermediate-range Ballistic Missile Launch,North Korea launched what appeared to be a Hwasong-12 (KN-17) missile from a location in South Pyongan province.  The missile failed shortly after launch and flew only about 20 miles.,http://www.cnn.com/2017/04/28/world/north-korea-missile-launch/index.html
May,2017,Missile Provocation,Intermediate-range Ballistic Missile Launch,North Korea launched a new type of intermediate-range missile called the Hwasong-12 from a location near Kusong on the northwest coast of the country. The missile may be similar to the type launched from the same area in October 2016.,http://www.cnn.com/2017/05/14/asia/north-korea-missile-test-russia-japan/index.html
May,2017,Missile Provocation,Medium-range Ballistic Missile Launch,North Korea launched a Pukguksong-2 missile from a location near Lake Yonpung in South Pyongan province. According to South Korean sources the missile travelled approximately 500 km (310 miles) and was similar to the PGS-2 launch in February 2017.,http://www.reuters.com/article/us-northkorea-missiles-idUSKBN18H0A6
May,2017,Missile Provocation,Short-range Missile Launch,North Korean state media claimed to have successfully tested a surface-to-air missile (KN-06) system. The exact timing of the test is unknown.,http://thediplomat.com/2017/05/north-korea-declares-kn-06-surface-to-air-missile-system-operational-after-successful-test/
May,2017,Missile Provocation,Short-range Ballistic Missile Launch,"North Korea test-fired a short-range ballistic missile at location near Wonsan on the east coast. According to the South Korean military the missile flew about 450 km. North Korean state media described the projectile launched as an ""ultra-precision"" Scud missile.",http://www.cnn.com/2017/05/29/asia/north-korea-missile-test-warhead/index.html?sr=twcnni053017north-korea-missile-test-warhead1017AMVODtopLink&linkId=381428220
Jun,2017,Missile Provocation,Short-range Missile Launch,"North Korea fired four surface-to-ship missiles from a location near Wonsan. According to the South Korean military, the missiles flew approximately 200 km (125 miles) before landing in the East Sea. ",http://www.cnn.com/2017/06/07/asia/north-korea-missiles-launch/index.html
Jul,2017,Missile Provocation,Inter-continental Ballistic Missile,"North Korea claims to have launched an inter-continental ballistic missile (ICBM) from a location near Banghyon, North Pyongan Province. The new missile (Hwasong-14) travelled approximately 580 miles before falling into the sea near Japan. The launch comes just days after the conclusion of a U.S.-ROK summit in Washington and just before the scheduled G-20 summit in Hamburg, Germany",https://www.reuters.com/article/us-northkorea-missiles-idUSKBN19P02W
Jul,2017,Missile Provocation,Inter-continental ballistic Missile,"North Korea launched a second Hwasong-14 (ICBM) missile into the East Sea from the northwestern province of Jagang. The missile reportedly flew for about 47 minutes in a lofted trajectory reaching a height of approximately 3,700 kilometers and a distance of 1,000 kilometers before splashing down in Japan's exclusive economic zone. ",https://www.washingtonpost.com/world/asia_pacific/north-korea-fires-another-missile-its-latest-step-toward-putting-the-us-within-reach/2017/07/28/7fc4437a-71fd-11e7-8c17-533c52b2f014_story.html?utm_term=.27dcc84d63c1
Aug,2017,Missile Provocation,Short-range Missile Launch,"North Korea fired three short range missiles into the East Sea from Kittaeryong, a location near Wonsan in the southeast. One of the missiles is reported to have failed shortly after launch. ",
Aug,2017,Missile Provocation,Intermediate-range Ballistic Missile Launch,"North Korea launched an intermediate-range ballistic missile over Japan. The missile was fired from a location near Pyongyang and flew about 2,700 kilometers before landing in the Pacific Ocean approximately 1,180 kilometers from the Japanese coast. North Korea announced afterward that the launch was of a Hwasong-12 missile.",
Sep,2017,Nuclear Provocation,Nuclear Test,North Korea conducted a sixth nuclear test near the Punggye-ri nuclear test site. North Korea claims to have tested a powerful hydrogen bomb.,
Sep,2017,Missile Provocation,Intermediate-range Ballistic Missile Launch,"North Korea fired an intermediate-range ballistic missile which overflew Japan. According to a statement by the South Korean Joint Chiefs of Staff, the missile flew approximately 3700 km from its launch site near Pyongyang’s Sunan International Airport before landing in the Pacific Ocean. The launch follows a UN Security Council resolution that condemned North Korea’s September 3 nuclear test and imposed new sanctions."
